features,n_features,k,silhouette,inertia,pca_explained_pc1,pca_explained_pc2,pca_explained_total,feature_set_name
"age, urban_years, education_score, social_class_score, household_member, income_million_idr, income_receipt_score, expenditure_million_idr, food_expenditure_pct",9,5,0.4770335638846992,615.9270159671726,0.4909750010920496,0.1565741379713417,0.6475491390633913,full_socioeconomic
"income_million_idr, food_spending_million_idr, non_food_spending_million_idr",3,5,0.472867614529072,238.9421539822681,0.8661975200444584,0.1332479467607981,0.9994454668052565,target_food_spending_capacity
"age, urban_years, education_score, social_class_score, household_member, income_million_idr, income_receipt_score, expenditure_million_idr, food_expenditure_pct",9,6,0.47165789443769457,446.9607172082848,0.4909750010920496,0.1565741379713417,0.6475491390633913,full_socioeconomic
"age, urban_life_ratio, education_score, social_class_score, household_member, income_per_capita, expenditure_per_capita, food_expenditure_pct",8,5,0.4714008579505915,587.706914136461,0.4451836128458441,0.21472374383594187,0.659907356681786,demographic_economic
"age, urban_life_ratio, education_score, social_class_score, household_member, income_per_capita, expenditure_per_capita, food_expenditure_pct",8,2,0.469863236617438,1828.5575060273918,0.4451836128458441,0.21472374383594187,0.659907356681786,demographic_economic
"age, urban_years, education_score, social_class_score, household_member, income_million_idr, income_receipt_score, expenditure_million_idr, food_expenditure_pct",9,3,0.46930034040776253,1127.1976284471316,0.4909750010920496,0.1565741379713417,0.6475491390633913,full_socioeconomic
"income_million_idr, food_spending_million_idr, non_food_spending_million_idr",3,6,0.4675758848445639,197.54295751409026,0.8661975200444584,0.1332479467607981,0.9994454668052565,target_food_spending_capacity
"income_million_idr, food_spending_million_idr, non_food_spending_million_idr",3,3,0.46629549320569624,493.6225591495917,0.8661975200444584,0.1332479467607981,0.9994454668052565,target_food_spending_capacity
"household_member, income_per_capita, food_expenditure_pct, food_spending_million_idr",4,2,0.4638801684438022,1174.8529389550051,0.5801643253546289,0.2519299002916794,0.8320942256463083,target_household_food_burden
"household_member, income_per_capita, food_expenditure_pct, food_spending_million_idr",4,5,0.46293814663722876,487.9555321593847,0.5801643253546289,0.2519299002916794,0.8320942256463083,target_household_food_burden
"income_million_idr, expenditure_million_idr, income_per_capita, expenditure_per_capita, saving_gap_million_idr",5,5,0.4622617682088676,551.3996123458195,0.790560976822336,0.2006038637266258,0.9911648405489617,economic_capacity
"age, urban_life_ratio, education_score, social_class_score, household_member, income_per_capita, expenditure_per_capita, food_expenditure_pct",8,3,0.4604652197602478,1134.728294753149,0.4451836128458441,0.21472374383594187,0.659907356681786,demographic_economic
"household_member, income_per_capita, food_expenditure_pct, food_spending_million_idr",4,4,0.4589832068869603,593.1046928752022,0.5801643253546289,0.2519299002916794,0.8320942256463083,target_household_food_burden
"age, urban_life_ratio, education_score, social_class_score, household_member, income_per_capita, expenditure_per_capita, food_expenditure_pct",8,4,0.4572442511931438,835.2549219745888,0.4451836128458441,0.21472374383594187,0.659907356681786,demographic_economic
"household_member, income_per_capita, food_expenditure_pct, food_spending_million_idr",4,3,0.4471536752255067,829.5636898238199,0.5801643253546289,0.2519299002916794,0.8320942256463083,target_household_food_burden
