(A1) CITY,(A2) PROVINCE,(B3) GENDER,(B4) AGE,(B5) RELIGION,(B6) ETHNIC,(B7) EDUCATION LEVEL,(B8) LIVED IN URBAN AREA (YEARS),(B9) OCCUPATION,(B10) SOCIAL CLAS,(B11) HOUSEHOLD MEMBER,(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR),(C13) TIME OF INCOME RECEIPT,(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR),(C15) % MONTHLY EXPENDITURE FOR FOOD,(D16) HEALTH FACTOR,(D17) PRICE FACTOR),(E18) RELIGIOUS VALUE IN TYPE OF FOOD,(E19) RELIGIOUS VALUE IN EATING PLACES,(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN,(E21) CUSTOM VALUE IN TYPE OF FOOD,(E22) CUSTOM VALUE IN EATING PLACES,(E23) CUSTOM VALUE IN CONSUMPTION PATTERN,(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES,(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES,(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES,(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES,(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD,age,urban_years,education_score,social_class_score,household_member,income_million_idr,income_receipt_score,expenditure_million_idr,food_expenditure_pct,income_per_capita,expenditure_per_capita,food_spending_million_idr,non_food_spending_million_idr,saving_gap_million_idr,urban_life_ratio,PC1,PC2,cluster
Denpasar,Bali,Female,30,Hindu,Bali,Junior High School,21,Private Employees,Middle Class,6,06:08:00,Weekly,07:00:00,44,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30,21,2,2,6,6.8,2,7.0,44,1.1333333333333333,1.1666666666666667,3.08,3.92,-0.20000000000000018,0.7,0.10023046013201459,-0.0074001151975532226,1
Denpasar,Bali,Female,37,Hindu,Bali,Bachelor degree,24,Private Employees,Middle Class,6,04:08:00,Weekly,05:00:00,35,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,37,24,5,2,6,4.8,2,5.0,35,0.7999999999999999,0.8333333333333334,1.75,3.25,-0.20000000000000018,0.6486486486486487,-0.21179454350513616,0.3597037189849346,1
Denpasar,Bali,Male,42,Hindu,Bali,Senior High School,22,Private Employees,Lower Class,6,02:09:00,Daily,03:01:00,59,Disagree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,42,22,3,1,6,2.9,1,3.1,59,0.48333333333333334,0.5166666666666667,1.829,1.2710000000000001,-0.20000000000000018,0.5238095238095238,-2.040182299153254,-0.2330738936381255,2
Denpasar,Bali,Male,26,Hindu,Bali,Diploma,26,Private Employees,Lower Class,6,03:05:00,Daily,03:07:00,65,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,26,26,4,1,6,3.5,1,3.7,65,0.5833333333333334,0.6166666666666667,2.405,1.2950000000000004,-0.20000000000000018,1.0,-2.040971196318682,-0.33015106198347294,2
Denpasar,Bali,Female,37,Hindu,Bali,Bachelor degree,15,Private Employees,Middle Class,6,05:07:00,Weekly,05:09:00,41,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,37,15,5,2,6,5.7,2,5.9,41,0.9500000000000001,0.9833333333333334,2.419,3.4810000000000003,-0.20000000000000018,0.40540540540540543,-0.12716298174730245,0.20222071018564172,1
Denpasar,Bali,Female,52,Islam,Java,Senior High School,22,Teacher‎/Lecturer,Upper Class,7,11:03:00,Monthly,11:05:00,26,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,52,22,3,3,7,11.3,3,11.5,26,1.6142857142857143,1.6428571428571428,2.99,8.51,-0.1999999999999993,0.4230769230769231,2.4972990447697825,0.08559472605385612,3
Denpasar,Bali,Female,25,Hindu,Bali,Primary School,25,Teacher‎/Lecturer,Lower Class,6,02:07:00,Daily,02:09:00,76,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,25,25,1,1,6,2.7,1,2.9,76,0.45,0.48333333333333334,2.204,0.6959999999999997,-0.19999999999999973,1.0,-2.583413747635958,-0.12555554774162117,2
Denpasar,Bali,Male,34,Hindu,Bali,Primary School,34,Government Employees,Upper Class,6,10:01:00,Monthly,10:03:00,22,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,34,34,1,3,6,10.1,3,10.3,22,1.6833333333333333,1.7166666666666668,2.266,8.034,-0.20000000000000107,1.0,2.2700370857513703,0.31139507949460893,3
Denpasar,Bali,Male,57,Protestant,Bali,Junior High School,23,Government Employees,Upper Class,6,12:05:00,Monthly,12:07:00,18,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,57,23,2,3,6,12.5,3,12.7,18,2.0833333333333335,2.1166666666666667,2.286,10.414,-0.1999999999999993,0.40350877192982454,3.067820633812098,-0.1876746525119843,3
Denpasar,Bali,Male,54,Protestant,Other,Senior High School,29,Government Employees,Lower Class,6,03:02:00,Daily,03:04:00,57,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,54,29,3,1,6,3.2,1,3.4,57,0.5333333333333333,0.5666666666666667,1.9379999999999997,1.4620000000000002,-0.19999999999999973,0.5370370370370371,-1.897551901892675,-0.30139123827958564,2
